Epoch 1/1 | Batch 0/1767 | Avg Loss: 0.4366189241409302
Epoch 1/1 | Batch 17/1767 | Avg Loss: 0.5578906606225407
Epoch 1/1 | Batch 34/1767 | Avg Loss: 0.5716374463894788
Epoch 1/1 | Batch 51/1767 | Avg Loss: 0.5290702984613531
Epoch 1/1 | Batch 68/1767 | Avg Loss: 0.5798343367436353
Epoch 1/1 | Batch 85/1767 | Avg Loss: 0.5462650954723358
Epoch 1/1 | Batch 102/1767 | Avg Loss: 0.542169097591849
Epoch 1/1 | Batch 119/1767 | Avg Loss: 0.5145446596776738
Epoch 1/1 | Batch 136/1767 | Avg Loss: 0.6170352136387545
Epoch 1/1 | Batch 153/1767 | Avg Loss: 0.568964306045981
Epoch 1/1 | Batch 170/1767 | Avg Loss: 0.5431055952520931
Epoch 1/1 | Batch 187/1767 | Avg Loss: 0.5258022459114299
Epoch 1/1 | Batch 204/1767 | Avg Loss: 0.577739508712993
Epoch 1/1 | Batch 221/1767 | Avg Loss: 0.5818405712352079
Epoch 1/1 | Batch 238/1767 | Avg Loss: 0.5988012797692243
Epoch 1/1 | Batch 255/1767 | Avg Loss: 0.5686029651585747
Epoch 1/1 | Batch 272/1767 | Avg Loss: 0.6088995916001937
Epoch 1/1 | Batch 289/1767 | Avg Loss: 0.5416130800457561
Epoch 1/1 | Batch 306/1767 | Avg Loss: 0.5232254319331225
Epoch 1/1 | Batch 323/1767 | Avg Loss: 0.5404347794897416
Epoch 1/1 | Batch 340/1767 | Avg Loss: 0.4779195364783792
Epoch 1/1 | Batch 357/1767 | Avg Loss: 0.5146906831685234
Epoch 1/1 | Batch 374/1767 | Avg Loss: 0.4741062662180732
Epoch 1/1 | Batch 391/1767 | Avg Loss: 0.4782130753292757
Epoch 1/1 | Batch 408/1767 | Avg Loss: 0.47769662387230816
Epoch 1/1 | Batch 425/1767 | Avg Loss: 0.5275567314204048
Epoch 1/1 | Batch 442/1767 | Avg Loss: 0.48577680745545554
Epoch 1/1 | Batch 459/1767 | Avg Loss: 0.507593523053562
Epoch 1/1 | Batch 476/1767 | Avg Loss: 0.5279454711605521
Epoch 1/1 | Batch 493/1767 | Avg Loss: 0.48124756883172426
Epoch 1/1 | Batch 510/1767 | Avg Loss: 0.5054407470366534
Epoch 1/1 | Batch 527/1767 | Avg Loss: 0.48948387713993297
Epoch 1/1 | Batch 544/1767 | Avg Loss: 0.46532727514996247
Epoch 1/1 | Batch 561/1767 | Avg Loss: 0.4940789201680352
Epoch 1/1 | Batch 578/1767 | Avg Loss: 0.4892129512394176
Epoch 1/1 | Batch 595/1767 | Avg Loss: 0.43346892384921804
Epoch 1/1 | Batch 612/1767 | Avg Loss: 0.45601346738198223
Epoch 1/1 | Batch 629/1767 | Avg Loss: 0.4844091552145341
Epoch 1/1 | Batch 646/1767 | Avg Loss: 0.45707206691012664
Epoch 1/1 | Batch 663/1767 | Avg Loss: 0.47928796270314383
Epoch 1/1 | Batch 680/1767 | Avg Loss: 0.48445536985116844
Epoch 1/1 | Batch 697/1767 | Avg Loss: 0.47634052704362306
Epoch 1/1 | Batch 714/1767 | Avg Loss: 0.4035814123995164
Epoch 1/1 | Batch 731/1767 | Avg Loss: 0.4257326669552747
Epoch 1/1 | Batch 748/1767 | Avg Loss: 0.4287988525979659
Epoch 1/1 | Batch 765/1767 | Avg Loss: 0.43005206304437976
Epoch 1/1 | Batch 782/1767 | Avg Loss: 0.4261869525208193
Epoch 1/1 | Batch 799/1767 | Avg Loss: 0.4197472596869749
Epoch 1/1 | Batch 816/1767 | Avg Loss: 0.4130951516768512
Epoch 1/1 | Batch 833/1767 | Avg Loss: 0.4515165669076583
Epoch 1/1 | Batch 850/1767 | Avg Loss: 0.4198468608014724
Epoch 1/1 | Batch 867/1767 | Avg Loss: 0.4204174034735736
Epoch 1/1 | Batch 884/1767 | Avg Loss: 0.38672755570972667
Epoch 1/1 | Batch 901/1767 | Avg Loss: 0.3938761747935239
Epoch 1/1 | Batch 918/1767 | Avg Loss: 0.4482891910216388
Epoch 1/1 | Batch 935/1767 | Avg Loss: 0.3979381112491383
Epoch 1/1 | Batch 952/1767 | Avg Loss: 0.3978686069740969
Epoch 1/1 | Batch 969/1767 | Avg Loss: 0.38043851098593545
Epoch 1/1 | Batch 986/1767 | Avg Loss: 0.36615687170449424
Epoch 1/1 | Batch 1003/1767 | Avg Loss: 0.3729611267061794
Epoch 1/1 | Batch 1020/1767 | Avg Loss: 0.380373915328699
Epoch 1/1 | Batch 1037/1767 | Avg Loss: 0.3667244174901177
Epoch 1/1 | Batch 1054/1767 | Avg Loss: 0.38548855045262503
Epoch 1/1 | Batch 1071/1767 | Avg Loss: 0.3776791455114589
Epoch 1/1 | Batch 1088/1767 | Avg Loss: 0.37325455160701976
Epoch 1/1 | Batch 1105/1767 | Avg Loss: 0.3629361145636615
Epoch 1/1 | Batch 1122/1767 | Avg Loss: 0.3407646303667742
Epoch 1/1 | Batch 1139/1767 | Avg Loss: 0.35129741973736706
Epoch 1/1 | Batch 1156/1767 | Avg Loss: 0.362527261762058
Epoch 1/1 | Batch 1173/1767 | Avg Loss: 0.3334684547256021
Epoch 1/1 | Batch 1190/1767 | Avg Loss: 0.3541303706519744
Epoch 1/1 | Batch 1207/1767 | Avg Loss: 0.33705855292432446
Epoch 1/1 | Batch 1224/1767 | Avg Loss: 0.303854045622489
Epoch 1/1 | Batch 1241/1767 | Avg Loss: 0.3793650506173863
Epoch 1/1 | Batch 1258/1767 | Avg Loss: 0.3373267676900415
Epoch 1/1 | Batch 1275/1767 | Avg Loss: 0.3570910315303242
Epoch 1/1 | Batch 1292/1767 | Avg Loss: 0.34036224466912884
Epoch 1/1 | Batch 1309/1767 | Avg Loss: 0.3753328866818372
Epoch 1/1 | Batch 1326/1767 | Avg Loss: 0.32991816103458405
Epoch 1/1 | Batch 1343/1767 | Avg Loss: 0.3268083184957504
Epoch 1/1 | Batch 1360/1767 | Avg Loss: 0.35557794044999513
Epoch 1/1 | Batch 1377/1767 | Avg Loss: 0.32678240187027874
Epoch 1/1 | Batch 1394/1767 | Avg Loss: 0.3151850156924304
Epoch 1/1 | Batch 1411/1767 | Avg Loss: 0.30421197063782635
Epoch 1/1 | Batch 1428/1767 | Avg Loss: 0.3730489094467724
Epoch 1/1 | Batch 1445/1767 | Avg Loss: 0.3341493036817102
Epoch 1/1 | Batch 1462/1767 | Avg Loss: 0.3201298266649246
Epoch 1/1 | Batch 1479/1767 | Avg Loss: 0.31612977648482604
Epoch 1/1 | Batch 1496/1767 | Avg Loss: 0.3156016582951826
Epoch 1/1 | Batch 1513/1767 | Avg Loss: 0.35004297600072976
Epoch 1/1 | Batch 1530/1767 | Avg Loss: 0.3079098094912136
Epoch 1/1 | Batch 1547/1767 | Avg Loss: 0.30627898345975313
Epoch 1/1 | Batch 1564/1767 | Avg Loss: 0.29473350153249855
Epoch 1/1 | Batch 1581/1767 | Avg Loss: 0.322737917304039
Epoch 1/1 | Batch 1598/1767 | Avg Loss: 0.301175313837388
Epoch 1/1 | Batch 1615/1767 | Avg Loss: 0.2921958627069698
Epoch 1/1 | Batch 1632/1767 | Avg Loss: 0.2571088785634321
Epoch 1/1 | Batch 1649/1767 | Avg Loss: 0.2931852831560023
Epoch 1/1 | Batch 1666/1767 | Avg Loss: 0.2808568758123061
Epoch 1/1 | Batch 1683/1767 | Avg Loss: 0.2728919018717373
Epoch 1/1 | Batch 1700/1767 | Avg Loss: 0.2717319542870802
Epoch 1/1 | Batch 1717/1767 | Avg Loss: 0.30920104507137747
Epoch 1/1 | Batch 1734/1767 | Avg Loss: 0.2999264838940957
Epoch 1/1 | Batch 1751/1767 | Avg Loss: 0.2631705385797164
